Vendor ID,Vendor Name,Address,City,State,Zip,Tax ID,Terms,Status,Created,Created By,Notes
V-1003,Ridgewire Telecom,8811 Capitol Blvd,Olympia,WA,98597,XX-XXX3274,Net 20,Active,01/08/2015,kpatel,
V-1011,Klamath Basin Potato Co.,34784 W Idaho St,Gresham,OR,97062,XX-XXX4709,Net 30,Active,11/21/2016,jmorales,
V-1015,Deschutes Brewing Supply Co-op,8660 SE Belmont St,Vancouver,WA,98688,XX-XXX7142,Net 30,Active,01/03/2017,lnguyen,
V-1018,Keystone Scale & Calibration,3675 NE Alberta St,Portland,OR,97234,XX-XXX8537,Net 30,Active,01/12/2015,lnguyen,
V-1020,Cascade Coldchain Logistics,6965 SE Belmont St,Portland,OR,97210,XX-XXX1359,Net 30,Active,12/01/2019,jmorales,
V-1021,Harborview Sign Co.,3241 NW 23rd Ave,Everett,WA,98276,XX-XXX9479,Net 30,Active,02/28/2014,jmorales,
V-1023,Clearwater Creamery,41819 Market St,Beaverton,OR,97003,XX-XXX8193,Net 30,Active,08/27/2021,lnguyen,
V-1030,Northwest Grocers Association,923 Oak St,Tacoma,WA,98440,XX-XXX7423,Net 30,Active,10/25/2021,jmorales,
V-1031,Tualatin Hazelnut Co.,10675 SE Division St,Olympia,WA,98517,XX-XXX6328,Net 30,Active,03/14/2021,jmorales,
V-1034,Lewis & Clark Legal Services,8307 NE Alberta St,Corvallis,OR,97369,XX-XXX6985,Net 30,Active,06/14/2024,kpatel,
V-1042,Pacific Coast Packaging LLC,4410 NW Front Ave Ste 200,Portland,OR,97209,XX-XXX7781,Net 30,Active,08/03/2019,lnguyen,
V-1045,Talent Bridge Staffing,8424 Oak St,Salem,OR,97372,XX-XXX8654,Net 30,Active,03/18/2023,jmorales,
V-1051,Stumptown Office Supply,2337 W Idaho St,Seattle,WA,98106,XX-XXX2845,Net 30,Active,01/02/2017,lnguyen,
V-1055,Wenatchee Pear Packers,5525 Pacific Ave,Beaverton,OR,97054,XX-XXX2363,Net 30,Active,05/04/2022,jmorales,
V-1058,Ridgeline Express,3491 SE Belmont St,Eugene,OR,97403,XX-XXX4291,Net 30,Active,10/23/2017,kpatel,
V-1066,Willamette Sanitation Supply,4489 Olive Way,Hood River,OR,97002,XX-XXX9568,Net 30,Active,12/03/2021,lnguyen,
V-1067,Marlowe Ostrander LLP,5678 Harbor Dr,Salem,OR,97305,XX-XXX1763,Net 30,Active,11/02/2011,jmorales,
V-1072,Gowen Field Commerce Park,6667 Center St,Corvallis,OR,97395,XX-XXX2401,Due on receipt,Active,09/16/2024,kpatel,
V-1074,Scappoose Organic Farms,41159 NE Alberta St,Boise,ID,83716,XX-XXX5789,Net 30,Active,08/11/2021,jmorales,
V-1077,Puget Sound Shellfish Co.,11425 Oak St,Hood River,OR,97044,XX-XXX9756,Net 30,Active,05/09/2021,kpatel,
V-1078,Rogue Valley Cheese Works,1240 N Mississippi Ave,Nampa,ID,83655,XX-XXX7630,Net 30,Active,07/18/2013,jmorales,
V-1080,Mt. Hood Berry Farm,20191 Market St,Hillsboro,OR,97126,XX-XXX2585,Net 30,Active,10/18/2023,jmorales,
V-1088,Oregon Tilth Certification,7604 Rainier Ave S,Lake Oswego,OR,97075,XX-XXX6466,Net 30,Active,05/07/2012,kpatel,
V-1093,Cascade Trade Show Group,8177 Broadway,Hood River,OR,97059,XX-XXX5098,Net 30,Active,05/14/2011,jmorales,
V-1096,Tri-County Health Permits,2580 Pearl St,Everett,WA,98247,XX-XXX9998,Net 30,Active,12/21/2013,kpatel,
V-1105,Everbright Electric Contractors,2881 Main St,Portland,OR,97204,XX-XXX4234,Net 30,Active,02/19/2011,kpatel,
V-1119,Cowlitz Creek Farms,3245 Broadway,Salem,OR,97306,XX-XXX1986,Net 15,Active,08/09/2015,jmorales,
V-1120,Columbia River Freightways,6728 Olive Way,Gresham,OR,97054,XX-XXX5693,Net 30,Active,06/07/2024,jmorales,
V-1124,Coos Bay Crab Co.,5462 Broadway,Boise,ID,83756,XX-XXX9235,Net 30,Active,10/27/2023,kpatel,
V-1127,Nooksack Berry Growers,756 Oak St,Bellevue,WA,98031,XX-XXX5475,Net 15,Active,04/06/2024,kpatel,
V-1128,Yakima Hop & Herb,23158 Capitol Blvd,Olympia,WA,98577,XX-XXX7645,Net 30,Active,01/13/2023,jmorales,
V-1132,Rose City Tire & Auto,637 Front Ave,Tacoma,WA,98438,XX-XXX2581,Net 30,Active,07/14/2015,lnguyen,
V-1136,Hells Canyon Honey,39899 Industrial Way,Everett,WA,98222,XX-XXX6959,Net 30,Active,11/09/2023,jmorales,
V-1142,Umatilla Specialty Produce,29530 Broadway,Eugene,OR,97443,XX-XXX6348,Net 30,Active,03/25/2024,jmorales,
V-1143,CloudLedger Software,1890 Capitol Blvd,Portland,OR,97278,XX-XXX3717,Net 30,Active,01/25/2024,lnguyen,
V-1147,Oregon Coast Seafood Traders,30823 SW Barbur Blvd,Olympia,WA,98506,XX-XXX2311,Net 30,Active,05/06/2018,kpatel,
