Customer ID,Customer Name,Address,City,State,Zip,Country,AP Email,Tax ID,Currency,Terms,Status,Created
C-0001,Meadowlark Bistro,1332 Main St,Gresham,OR,97094,US,billing@meadowlarkbistro.com,XX-XXX9219,USD,Net 15,Active,08/05/2011
C-0002,Flint Noodle House,4020 SE Division St,Lake Oswego,OR,97017,US,billing@flintnoodlehouse.com,XX-XXX1000,USD,Net 15,Active,01/19/2020
C-0008,Alder Cantina,5857 Evergreen Pkwy,Salem,OR,97363,US,billing@aldercantina.com,XX-XXX2817,USD,Net 15,Active,01/31/2021
C-0012,Olallie Market,4111 Market St,Hood River,OR,97059,US,ap@olalliemarket.com,XX-XXX8751,USD,Net 30,Active,09/28/2017
C-0014,Rivet Supper Club,8871 Broadway,Tacoma,WA,98413,US,billing@rivetsupperclub.com,XX-XXX9325,USD,Net 15,Active,12/18/2014
C-0020,Boise School Nutrition Services,5952 Evergreen Pkwy,Meridian,ID,83619,US,ap@boiseschoolnutriti.org,XX-XXX2892,USD,Net 30,Active,06/28/2016
C-0027,Cascade Harvest Grocers,7731 Market St,Corvallis,OR,97384,US,ap@cascadeharvestgroc.com,XX-XXX3546,USD,Net 30,Active,10/06/2022
C-0031,Oyster Taproom,4596 N Mississippi Ave,Meridian,ID,83678,US,billing@oystertaproom.com,XX-XXX5306,USD,Net 15,Active,05/20/2020
C-0033,Treasure Valley Market,4495 Oak St,Idaho Falls,ID,83417,US,ap@treasurevalleymark.com,XX-XXX9017,USD,Net 30,Active,08/03/2012
C-0035,Velvet Taproom,5821 Commercial St NE,Hillsboro,OR,97112,US,billing@velvettaproom.com,XX-XXX4066,USD,Net 15,Active,05/01/2023
C-0036,Alpine Eatery,9385 Harbor Dr,Gresham,OR,97020,US,billing@alpineeatery.com,XX-XXX5179,USD,Net 15,Active,11/01/2012
C-0037,Bellwether Tavern,4159 Center St,Corvallis,OR,97357,US,billing@bellwethertavern.com,XX-XXX6972,USD,Net 15,Active,04/16/2016
